Height,Weight
169.3402129,68.00583941
190.9903315,74.10117138
185.8614516,71.48138863
171.2348323,65.93667552
161.0856947,65.59619133
194.4796819,71.67079842
150.2737092,65.18795346
189.0351367,71.59994873
191.0486773,70.59611124
168.0835462,68.22480475
165.40211,67.31587056
184.6794401,70.22495671
139.7008785,62.6381091
164.947468,67.81320821
195.893263,72.62764323
211.4910164,75.02327949
177.1147627,68.82525318
218.5251635,77.79265707
221.8888217,76.28000513
167.3171147,66.52210903
206.9557958,74.11074619
220.4188274,78.29453127
179.9417202,67.64764812
187.2297704,71.07414609
203.4842219,73.117659
209.0556019,73.19271126
225.321607,78.54490672
186.3847033,71.16814771
181.1950239,68.05894243
215.7527656,76.63812603
155.3041398,65.56115362
168.3114542,67.00547061
153.0361151,64.86281662
195.7806978,71.3710903
168.4056089,69.69391767
195.9367615,71.75710167
190.9944496,70.30310568
172.9570982,67.80684001
171.6906674,69.88297978
155.707991,63.93112042
197.822247,74.45613093
188.974269,71.47142386
142.9228173,61.86249613
222.9036164,79.86834232
187.1592823,70.45538756
164.806506,68.71014539
214.1873668,75.25825865
161.4253689,65.74987565
217.7385051,77.69312883
179.7882684,71.5190541
166.663346,65.50718028
142.0601868,63.16829818
180.1860079,71.77024025
192.0300523,73.75533591
203.1075169,74.84364412
190.0021317,71.47978164
179.901165,71.41095961
129.4144296,61.77120516
214.5936552,76.34881985
177.1496918,68.7921396
161.0201383,65.67368852
183.2148146,71.02581103
202.2314866,75.1309373
133.5797778,60.61018468
120,58
147.7459317,63.01161349
171.0184732,69.51746016
173.0710588,70.35284599
203.3807368,75.22246918
225.6943564,78.16529239
230,80
165.5920294,66.26047202
171.7846078,69.94945234
207.9488696,76.4615869
165.8843772,66.57844462
139.5016606,62.20951443
188.3796313,70.2344032
195.3040624,73.98005494
203.6358329,76.43500632
185.5500764,69.90222998
200.176814,73.58933368
193.9512486,72.86920705
175.3427222,68.95557064
156.2546903,64.76154805
180.6784267,69.17516424
166.3162418,68.26699964
171.6291501,67.87914383
198.2290592,72.97192506
189.325481,70.20106664
174.7544862,67.32113001
155.6772813,64.01309239
178.2789394,68.67555837
160.8408519,66.75242104
181.3680123,70.35923944
175.9146134,69.85475698
154.4057039,64.33093456
179.5572794,67.99129664
185.9807606,71.27166253
152.1394228,62.28387271
150.747388,64.26030848
